2023/12/11 15:18:31:416863 : image coordinates received
2023/12/11 15:18:31:429263 : coordinates received #15
2023/12/11 15:18:32:478291 : path request received
2023/12/11 15:18:32:490292 : path error sent [invalid number of images: 0]
2023/12/11 15:19:19:021019 : profiles received 
2023/12/11 15:19:19:043288 : ==== new cycle 3
2023/12/11 15:19:19:063697 : image coordinates received
2023/12/11 15:19:19:074651 : coordinates received #1
2023/12/11 15:19:19:641010 : image coordinates received
2023/12/11 15:19:19:649800 : coordinates received #2
2023/12/11 15:19:20:247417 : image coordinates received
2023/12/11 15:19:20:252935 : coordinates received #3
2023/12/11 15:19:20:870606 : image coordinates received
2023/12/11 15:19:20:886733 : coordinates received #4
2023/12/11 15:19:21:492522 : image coordinates received
2023/12/11 15:19:21:501251 : coordinates received #5
2023/12/11 15:19:22:115947 : image coordinates received
2023/12/11 15:19:22:124727 : coordinates received #6
2023/12/11 15:19:22:725859 : image coordinates received
2023/12/11 15:19:22:740829 : coordinates received #7
2023/12/11 15:19:23:333774 : image coordinates received
2023/12/11 15:19:23:341684 : coordinates received #8
2023/12/11 15:19:23:958250 : image coordinates received
2023/12/11 15:19:23:968201 : coordinates received #9
2023/12/11 15:19:24:567532 : image coordinates received
2023/12/11 15:19:24:576403 : coordinates received #10
2023/12/11 15:19:25:192145 : image coordinates received
2023/12/11 15:19:25:200832 : coordinates received #11
2023/12/11 15:19:25:801658 : image coordinates received
2023/12/11 15:19:25:810438 : coordinates received #12
2023/12/11 15:19:26:423771 : image coordinates received
2023/12/11 15:19:26:431733 : coordinates received #13
2023/12/11 15:19:27:035057 : image coordinates received
2023/12/11 15:19:27:042758 : coordinates received #14
2023/12/11 15:19:27:661243 : image coordinates received
2023/12/11 15:19:27:676707 : coordinates received #15
2023/12/11 15:19:28:707230 : path request received
2023/12/11 15:19:28:717664 : path error sent [invalid number of images: 0]
2023/12/11 15:22:40:346027 : profiles received 
2023/12/11 15:22:40:369701 : ==== new cycle 2
2023/12/11 15:22:40:388097 : image coordinates received
2023/12/11 15:22:40:393862 : coordinates received #1
2023/12/11 15:22:40:947524 : image coordinates received
2023/12/11 15:22:40:957050 : coordinates received #2
2023/12/11 15:22:41:573047 : image coordinates received
2023/12/11 15:22:41:580028 : coordinates received #3
2023/12/11 15:22:42:196966 : image coordinates received
2023/12/11 15:22:42:205501 : coordinates received #4
2023/12/11 15:22:42:803378 : image coordinates received
2023/12/11 15:22:42:812946 : coordinates received #5
2023/12/11 15:22:43:427297 : image coordinates received
2023/12/11 15:22:43:436245 : coordinates received #6
2023/12/11 15:22:44:037941 : image coordinates received
2023/12/11 15:22:44:046670 : coordinates received #7
2023/12/11 15:22:44:663089 : image coordinates received
2023/12/11 15:22:44:673079 : coordinates received #8
2023/12/11 15:22:45:274035 : image coordinates received
2023/12/11 15:22:45:282817 : coordinates received #9
2023/12/11 15:22:45:886774 : image coordinates received
2023/12/11 15:22:45:895739 : coordinates received #10
2023/12/11 15:22:46:508798 : image coordinates received
2023/12/11 15:22:46:517435 : coordinates received #11
2023/12/11 15:22:47:117431 : image coordinates received
2023/12/11 15:22:47:127342 : coordinates received #12
2023/12/11 15:22:47:741804 : image coordinates received
2023/12/11 15:22:47:757382 : coordinates received #13
2023/12/11 15:22:48:349422 : image coordinates received
2023/12/11 15:22:48:365020 : coordinates received #14
2023/12/11 15:22:48:974554 : image coordinates received
2023/12/11 15:22:48:990670 : coordinates received #15
2023/12/11 15:22:50:020963 : path request received
2023/12/11 15:22:50:032578 : path error sent [invalid number of images: 0]
2023/12/11 15:25:35:734029 : profiles received 
2023/12/11 15:25:35:754175 : ==== new cycle 2
2023/12/11 15:25:35:775072 : image coordinates received
2023/12/11 15:25:35:781065 : coordinates received #1
2023/12/11 15:25:36:352272 : image coordinates received
2023/12/11 15:25:36:370322 : coordinates received #2
2023/12/11 15:25:36:976823 : image coordinates received
2023/12/11 15:25:36:992986 : coordinates received #3
2023/12/11 15:25:37:585761 : image coordinates received
2023/12/11 15:25:37:594724 : coordinates received #4
2023/12/11 15:25:38:210201 : image coordinates received
2023/12/11 15:25:38:220113 : coordinates received #5
2023/12/11 15:25:38:819068 : image coordinates received
2023/12/11 15:25:38:835463 : coordinates received #6
2023/12/11 15:25:39:442299 : image coordinates received
2023/12/11 15:25:39:453745 : coordinates received #7
2023/12/11 15:25:40:052426 : image coordinates received
2023/12/11 15:25:40:061171 : coordinates received #8
2023/12/11 15:25:40:677455 : image coordinates received
2023/12/11 15:25:40:687794 : coordinates received #9
